element,ion_state,wavelength,Ei,Ek,gi,gk,Ak,emissivity,channel,pixel,half_px,step_nm,interference,rel_emissivity,status,snr,selected,response_ln
Fe,II,544.53,10.4801123,12.7563835,10.0,8.0,3300000.0,2.047832304556674e-05,2,6627,3,0.06201171875,11.010719919927888,2.214346140444482e-07,implausible,,False,
Fe,II,544.58,10.5446893,12.8207506,4.0,6.0,29100000.0,0.00012463810475916965,2,6628,3,0.06201171875,0.16430226602960396,1.3477270849359445e-06,implausible,,False,
Fe,II,545.009,10.6229357,12.8972034,6.0,8.0,22600000.0,0.00011685609063178396,2,6635,3,0.06201171875,32.92769411984576,1.263579213503711e-06,implausible,,False,
Fe,II,545.132,10.4996322,12.7733903,8.0,6.0,8400000.0,3.820478372236545e-05,2,6637,3,0.06201171875,100.71517840086125,4.1311300341289655e-07,implausible,,False,
Fe,II,545.593,10.4801123,12.7519476,10.0,10.0,6900000.0,5.3725018053616603e-05,2,6645,3,0.06201171875,42.5793069934088,5.809351972210948e-07,implausible,,False,
Fe,II,545.772,10.6290223,12.9001119,4.0,6.0,27100000.0,0.0001045531694967274,2,6648,3,0.06201171875,0.0,1.1305462211488852e-06,implausible,,False,
Fe,II,546.05,10.6229357,12.892869,6.0,6.0,1900000.0,7.395306839594588e-06,2,6653,3,0.06201171875,854.4755149956119,7.996635818870957e-08,implausible,,False,
Fe,II,546.593,10.6229357,12.8906141,6.0,8.0,62000000.0,0.0003223770059808429,2,6662,3,0.06201171875,0.00034496343474063493,3.4859020310076917e-06,implausible,,False,
Fe,II,547.285,10.4996322,12.7644423,8.0,6.0,7100000.0,3.2538355436696256e-05,2,6673,3,0.06201171875,1106.5771500135215,3.518412206767933e-07,implausible,,False,
Fe,II,547.358,10.5600846,12.8245941,2.0,2.0,16000000.0,2.2614892508052934e-05,2,6675,3,0.06201171875,10355.015248173851,2.4453760120077235e-07,implausible,,False,
Fe,II,547.518,10.6290223,12.892869,4.0,6.0,3000000.0,1.1645492548365029e-05,2,6677,3,0.06201171875,49.93952252102042,1.2592413656463743e-07,implausible,,False,
Fe,II,547.583,10.4996322,12.7632131,8.0,8.0,23100000.0,0.00014129925654290164,2,6679,3,0.06201171875,4226.558778104719,1.5278861588287336e-06,implausible,,False,
Fe,II,547.832,10.59605,12.8586008,8.0,8.0,1400000.0,7.5690910865262405e-06,2,6683,3,0.06201171875,1.3585615931398664e-11,8.184550852541871e-08,implausible,,False,
Fe,II,547.94,10.5600846,12.8221898,2.0,4.0,25000000.0,7.081566908301861e-05,2,6684,3,0.06201171875,1.4520905582459156e-12,7.657384990365365e-07,implausible,,False,
Fe,II,548.096,10.5226519,12.7841142,6.0,4.0,18100000.0,5.383512172859023e-05,2,6687,3,0.06201171875,3395.043079001083,5.821257617374573e-07,implausible,,False,
Fe,II,548.127,10.59605,12.8573818,8.0,10.0,11700000.0,7.915172459998857e-05,2,6688,3,0.06201171875,2308.8219713785757,8.55877287839995e-07,implausible,,False,
Fe,II,548.231,10.5615658,12.8224715,10.0,12.0,48000000.0,0.0004075336904292744,2,6689,3,0.06201171875,223.42890155610263,4.406711684815037e-06,implausible,,False,
Fe,II,548.739,10.5600846,12.8188939,2.0,4.0,4400000.0,1.2498411843900874e-05,2,6698,3,0.06201171875,985.6788314557253,1.351468573214979e-07,implausible,,False,
Fe,II,548.762,10.59605,12.8547671,8.0,10.0,43000000.0,0.0002915441345402356,2,6698,3,0.06201171875,41.29863314739608,3.1525024175656614e-06,implausible,,False,
Fe,II,548.808,10.6000744,12.8586008,6.0,8.0,3100000.0,1.673032405185799e-05,2,6699,3,0.06201171875,739.6999389492998,1.8090704209609249e-07,implausible,,False,
Fe,II,548.877,10.59605,12.8542909,8.0,8.0,11100000.0,6.0231610620704424e-05,2,6700,3,0.06201171875,176.45912192562542,6.512917791849425e-07,implausible,,False,
Fe,II,549.208,10.6229357,12.8798182,6.0,8.0,34100000.0,0.00017893668849538026,2,6706,3,0.06201171875,0.7947804919796982,1.9348643180987393e-06,implausible,,False,
Fe,II,549.24,10.4996322,12.7563835,8.0,8.0,22100000.0,0.0001359666434835874,2,6706,3,0.06201171875,1.3619916590036512,1.4702239610008082e-06,implausible,,False,
Fe,II,549.268,10.5615658,12.8182037,10.0,8.0,1100000.0,6.2487458319889354e-06,2,6707,3,0.06201171875,50.39464565303595,6.75684536516711e-08,implausible,,False,
Fe,II,549.383,10.4996322,12.7557949,8.0,10.0,40000000.0,0.00030777025941620923,2,6709,3,0.06201171875,19.907039629840888,3.3279574922489414e-06,implausible,,False,
Fe,II,549.857,10.6000744,12.8542909,6.0,8.0,12700000.0,6.879082106503905e-05,2,6717,3,0.06201171875,45.1963789283505,7.438435695365823e-07,implausible,,False,
Fe,II,549.961,10.6229357,12.8767266,6.0,6.0,2900000.0,1.144301479989725e-05,2,6718,3,0.06201171875,0.0,1.2373471988316468e-07,implausible,,False,
Fe,II,550.102,10.6000744,12.8532884,6.0,4.0,7000000.0,1.8974167324274724e-05,2,6721,3,0.06201171875,175.97452018415092,2.051699940916366e-07,implausible,,False,
Fe,II,550.267,10.5615658,12.8141045,10.0,10.0,14100000.0,0.00010046981001639204,2,6724,3,0.06201171875,1.7407671893063095,1.0863923552038637e-06,implausible,,False,
Fe,II,550.322,10.4996322,12.7519476,8.0,10.0,16700000.0,0.0001289127477465968,2,6725,3,0.06201171875,15.845507862229516,1.3939493228600433e-06,implausible,,False,
Fe,II,550.336,10.6000744,12.8523307,6.0,6.0,11300000.0,4.5981801045776856e-05,2,6725,3,0.06201171875,46.22739554166191,4.972068437920483e-07,implausible,,False,
Fe,II,550.389,10.5226519,12.7746894,6.0,4.0,10400000.0,3.1180638671561034e-05,2,6726,3,0.06201171875,65.42362003891645,3.3716006308393657e-07,implausible,,False,
Fe,II,550.62,10.5217184,12.7728134,12.0,14.0,114000000.0,0.0011986512433300029,2,6730,3,0.06201171875,344.33202237484085,1.296116263280344e-05,implausible,,False,
Fe,II,550.707,10.5226519,12.7733903,6.0,6.0,32200000.0,0.00014496908933523393,2,6731,3,0.06201171875,2847.725996864897,1.5675685100725127e-06,implausible,,False,
Fe,II,551.064,10.5615658,12.8108465,10.0,10.0,4600000.0,3.28677615844454e-05,2,6737,3,0.06201171875,60.92028744563606,3.554031296782479e-07,implausible,,False,
Fe,II,551.078,10.5615658,12.8107881,10.0,12.0,22800000.0,0.00019550148414421135,2,6737,3,0.06201171875,9.410055217290552,2.1139814813089435e-06,implausible,,False,
Fe,II,551.109,10.6290223,12.8781204,4.0,4.0,23000000.0,6.0268854150294615e-05,2,6738,3,0.06201171875,32.76837462229311,6.516944980297476e-07,implausible,,False,
Fe,II,552.905,10.5226519,12.7644423,6.0,6.0,20100000.0,9.117931715314244e-05,2,6768,3,0.06201171875,0.0,9.8593311853303e-07,implausible,,False,
Fe,II,553.034,10.5446893,12.7859594,4.0,2.0,24000000.0,3.528904491649659e-05,2,6770,3,0.06201171875,0.0,3.8158476276080057e-07,implausible,,False,
Fe,II,553.209,10.5226519,12.7632131,6.0,8.0,21700000.0,0.00013138577604055737,2,6773,3,0.06201171875,2327.1669558332637,1.420690480550331e-06,implausible,,False,
Fe,II,553.489,10.5446893,12.7841142,4.0,4.0,19700000.0,5.802310814816951e-05,2,6778,3,0.06201171875,1387.4435152176686,6.27410971584935e-07,implausible,,False,
