pair,w_a,accuracy,accuracy_std,balanced_accuracy,macro_f1,protocol
token_cnn+pca_mlp,0.0,0.7145833333333333,0.04098399077688753,0.6588049450549451,0.6749053314029889,mean_of_repeats
token_cnn+pca_mlp,0.1,0.7125,0.03461093276215861,0.6526373626373627,0.6703426498190055,mean_of_repeats
token_cnn+pca_mlp,0.2,0.7166666666666667,0.03385016001931649,0.6551373626373627,0.6756353595637488,mean_of_repeats
token_cnn+pca_mlp,0.3,0.7208333333333333,0.030333791205335494,0.6602335164835165,0.6796798575653652,mean_of_repeats
token_cnn+pca_mlp,0.4,0.7229166666666667,0.03193689524324144,0.6664010989010989,0.6856935580087835,mean_of_repeats
token_cnn+pca_mlp,0.5,0.7229166666666667,0.0409839907768875,0.6664010989010989,0.6837545037999511,mean_of_repeats
token_cnn+pca_mlp,0.6,0.7229166666666667,0.03300620732865597,0.6664010989010989,0.6852950262352626,mean_of_repeats
token_cnn+pca_mlp,0.7,0.7145833333333333,0.028489154856619483,0.6590796703296704,0.6740976894947033,mean_of_repeats
token_cnn+pca_mlp,0.8,0.6416666666666666,0.021245914639969915,0.5702472527472526,0.5813440485723972,mean_of_repeats
token_cnn+pca_mlp,0.9,0.59375,0.003608439182435148,0.5195054945054944,0.5224424240674386,mean_of_repeats
token_cnn+pca_mlp,1.0,0.5416666666666666,0.0,0.4648901098901098,0.46263787298270065,mean_of_repeats
token_cnn+pixel_cnn,0.0,0.5833333333333333,0.00833333333333336,0.5338736263736263,0.5354269669940188,mean_of_repeats
token_cnn+pixel_cnn,0.1,0.5958333333333333,0.004166666666666652,0.546565934065934,0.5481763350075994,mean_of_repeats
token_cnn+pixel_cnn,0.2,0.5958333333333333,0.004166666666666652,0.546565934065934,0.5481763350075994,mean_of_repeats
token_cnn+pixel_cnn,0.3,0.5875,0.004166666666666652,0.5363736263736263,0.5371184979335022,mean_of_repeats
token_cnn+pixel_cnn,0.4,0.5916666666666667,0.0,0.5440659340659341,0.5433670242800677,mean_of_repeats
token_cnn+pixel_cnn,0.5,0.5958333333333333,0.004166666666666652,0.5512087912087912,0.5484573824824148,mean_of_repeats
token_cnn+pixel_cnn,0.6,0.6083333333333334,0.016666666666666663,0.5690934065934066,0.5627701346996479,mean_of_repeats
token_cnn+pixel_cnn,0.7,0.6,0.008333333333333304,0.5496153846153846,0.5463448452925908,mean_of_repeats
token_cnn+pixel_cnn,0.8,0.5791666666666666,0.004166666666666707,0.518543956043956,0.5133893134526045,mean_of_repeats
token_cnn+pixel_cnn,0.9,0.575,0.0,0.5062087912087911,0.5012701441538651,mean_of_repeats
token_cnn+pixel_cnn,1.0,0.5416666666666666,0.0,0.4648901098901098,0.46263787298270065,mean_of_repeats
