encoding,model,n_features,accuracy,accuracy_std,balanced_accuracy,macro_f1
mean,pca_svm_rbf,3069,0.58125,0.028489154856619455,0.4715659340659341,0.4925278458466025
mean,pca_lda,3069,0.575,0.025685058345704066,0.5362637362637362,0.5460941280501134
mean,pca_mlp,3069,0.5708333333333334,0.036562351614133855,0.49469780219780224,0.5098275862068966
mean,pca_logreg,3069,0.5416666666666667,0.04787135538781692,0.5154395604395605,0.5200852156496358
mean,plsda,3069,0.5291666666666667,0.034610932762158646,0.4541208791208791,0.47144951068315544
depth_profile,pca_svm_rbf,12276,0.46875,0.01232516621479086,0.33848901098901096,0.34365707077578556
depth_profile,pca_lda,12276,0.4666666666666666,0.019543398999264293,0.3917582417582418,0.40463182548310683
depth_profile,pca_mlp,12276,0.46458333333333335,0.02384483987970748,0.382445054945055,0.3917490943107124
depth_bins,pca_svm_rbf,27621,0.4333333333333333,0.030618621784789718,0.3406043956043956,0.36070184996040716
depth_profile,plsda,12276,0.4291666666666667,0.017179606773406905,0.33755494505494504,0.34740769205301864
depth_profile,pca_logreg,12276,0.42291666666666666,0.03138858161108201,0.36782967032967034,0.365368244160391
depth_bins,pca_lda,27621,0.41875,0.03300620732865596,0.3445604395604396,0.355431201865639
depth_bins,pca_mlp,27621,0.41875,0.01082531754730549,0.35002747252747257,0.3611790832628231
depth_contrast,pca_svm_rbf,30690,0.4125,0.01717960677340692,0.3174450549450549,0.333581965532498
depth_bins,pca_logreg,27621,0.4,0.02946278254943949,0.35899725274725275,0.35111588986952996
depth_bins,plsda,27621,0.3979166666666667,0.028489154856619472,0.31648351648351647,0.3258919163902633
depth_contrast,pca_mlp,30690,0.39375,0.0238448398797075,0.31028846153846157,0.3174714977664499
depth_contrast,plsda,30690,0.37916666666666665,0.02916666666666667,0.28965659340659344,0.297266361372088
depth_contrast,pca_lda,30690,0.375,0.013176156917368254,0.29494505494505496,0.2989026768305334
depth_contrast,pca_logreg,30690,0.33541666666666664,0.009081039465709727,0.29483516483516486,0.2907881787961559
