target,config_id,scaling,n_bins,n_pc,hidden,alpha,balance,precision_macro,precision_macro_std,recall_macro,recall_macro_std,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std,accuracy,accuracy_std
precision_macro,2.0,bin_autoscale,8.0,30.0,"(64,)",0.001,False,0.6343126385809312,0.0,0.614065934065934,0.0,0.6155965788149695,0.0,0.6420340054439672,0.0,0.65,0.0
recall_macro,2.0,bin_autoscale,8.0,30.0,"(64,)",0.001,False,0.6343126385809312,0.0,0.614065934065934,0.0,0.6155965788149695,0.0,0.6420340054439672,0.0,0.65,0.0
f1_macro,2.0,bin_autoscale,8.0,30.0,"(64,)",0.001,False,0.6343126385809312,0.0,0.614065934065934,0.0,0.6155965788149695,0.0,0.6420340054439672,0.0,0.65,0.0
f1_weighted,2.0,bin_autoscale,8.0,30.0,"(64,)",0.001,False,0.6343126385809312,0.0,0.614065934065934,0.0,0.6155965788149695,0.0,0.6420340054439672,0.0,0.65,0.0
"baseline pca_mlp (mean, 4 blocks)",,,,,,,,0.7168452634369911,,0.6680934065934065,,0.6854327791846334,,0.7133219423876139,,0.7166666666666666,
