w_depth_snv,precision_macro,recall_macro,f1_macro,f1_weighted,accuracy,precision_macro_std,recall_macro_std,f1_macro_std,f1_weighted_std,accuracy_std
0.0,0.699952033781821,0.6596153846153846,0.6744504368465333,0.7048942699429864,0.7083333333333334,0.03338734477660269,0.027372271278714194,0.0294328835317476,0.012094742184330258,0.011785113019775804
0.1,0.7068733209866306,0.6678388278388279,0.6812140051049411,0.7083086837398135,0.7111111111111111,0.03176587408544212,0.027164586715635073,0.02877960732094699,0.016523965460538206,0.01712337223046936
0.2,0.7103317733190119,0.6711721611721612,0.6844615654821968,0.7137212843685731,0.7166666666666667,0.028772523305304554,0.027546213756347318,0.027773600556164037,0.01665882636184324,0.018002057495577376
0.3,0.7193112204239607,0.6786996336996337,0.6901341844126735,0.7175472872505662,0.7222222222222223,0.024575155650212174,0.03964734891210802,0.03138387906061032,0.019988824384039598,0.020786985482077466
0.4,0.7402087501667333,0.6856227106227107,0.7015825126211345,0.7179638176632448,0.7222222222222223,0.008758543768959693,0.0229281939040579,0.018341197044021023,0.014248202909363647,0.014163943093313291
0.5,0.7336151612154028,0.6791941391941393,0.6924320014781528,0.7111897060067548,0.7166666666666668,0.01901566464984777,0.02382201700972385,0.019058961904344567,0.016925969854831083,0.01800205749557741
0.6,0.7127302977067944,0.6667032967032966,0.6783877484142159,0.6978298070923104,0.7055555555555554,0.031164983953792576,0.02446583462630452,0.01671059369422768,0.014203663343948167,0.014163943093313291
0.7,0.7053264595509837,0.6496520146520146,0.6654055676704037,0.6873849094567376,0.6944444444444443,0.037172021596024896,0.025309115532014675,0.023846167196050996,0.02130979392782389,0.020786985482077466
0.8,0.6951428146762103,0.6481135531135531,0.6601940886763699,0.6797861352203719,0.6861111111111112,0.037999389223846144,0.02664543745001038,0.03080830986341186,0.02626198821034305,0.025760051376376946
0.9,0.683877090813963,0.6332234432234433,0.6461557692620494,0.6653103851179537,0.6722222222222222,0.03244751817172578,0.013820061854978395,0.023176627865294022,0.0186660545701516,0.017123372230469367
1.0,0.6695637077946047,0.6213003663003663,0.6332018704411096,0.6564607976526332,0.6638888888888889,0.023629009682673147,0.0020755045514004094,0.010954153815214042,0.005405207691400001,0.003928371006591917
