w_depth_snv,precision_macro,recall_macro,f1_macro,f1_weighted,accuracy,precision_macro_std,recall_macro_std,f1_macro_std,f1_weighted_std,accuracy_std
0.0,0.5876355441744457,0.5311355311355311,0.5439332714103208,0.6151509372465007,0.6277777777777778,0.03384875773970148,0.022648088311040614,0.022033607461938706,0.0206728950298814,0.020786985482077466
0.1,0.6090536520372934,0.5429304029304028,0.5570689005757522,0.6286338028028933,0.6416666666666667,0.057963138231953794,0.05059341401913019,0.04854674839485288,0.04327426053224283,0.04082482904638629
0.2,0.6259399463920171,0.5544871794871794,0.5726558799324974,0.6387375900233385,0.65,0.058265651219458384,0.04957384574845348,0.04887560007025634,0.04170325172854724,0.03788383804718293
0.3,0.6511296539305286,0.5764285714285715,0.5961799697248983,0.6483858921401834,0.6583333333333333,0.06422803526675779,0.04772599289800128,0.049863994878402707,0.04439466288115178,0.04249182927993988
0.4,0.6844441786209682,0.5951465201465201,0.6151960654755425,0.6598270441231279,0.6722222222222222,0.021513404133276102,0.026787065179923256,0.021781584600953554,0.0181545466977825,0.017123372230469367
0.5,0.7063517534804866,0.6138644688644689,0.6395058464767297,0.6759316945607027,0.6861111111111112,0.00501203812361699,0.024872590577829954,0.020052029400784484,0.01509285236173181,0.014163943093313291
0.6,0.6931442470572905,0.6414285714285715,0.6558090336587038,0.683265787652919,0.6916666666666668,0.030150463378156786,0.017079046732714147,0.020293360435186262,0.01577332594699114,0.01360827634879543
0.7,0.6845177988883752,0.6347619047619047,0.6476861484930211,0.6730020085287052,0.6805555555555557,0.025273029097406502,0.020895613947215744,0.02149479362053432,0.016360575144574067,0.01571348402636772
0.8,0.6832344994465079,0.6382234432234433,0.6493072776072385,0.6730652115289146,0.6805555555555557,0.029942917315461684,0.01673419480099565,0.0196705235383112,0.016078539743608785,0.01571348402636772
0.9,0.673829737541746,0.6280952380952382,0.6395611715603194,0.6623772570062717,0.6694444444444446,0.02695010455065894,0.008482958157590724,0.013834609530720344,0.008757665004602412,0.007856742013183886
1.0,0.6695637077946047,0.6213003663003663,0.6332018704411096,0.6564607976526332,0.6638888888888889,0.023629009682673147,0.0020755045514004094,0.010954153815214042,0.005405207691400001,0.003928371006591917
