target,config_id,scaling,n_bins,n_pc,hidden,alpha,balance,precision_macro,precision_macro_std,recall_macro,recall_macro_std,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std,accuracy,accuracy_std,nested_precision_macro,nested_recall_macro,nested_f1_macro,nested_f1_weighted,nested_accuracy,nested_precision_macro_std,nested_recall_macro_std,nested_f1_macro_std,nested_f1_weighted_std,nested_accuracy_std,nested_configs
precision_macro,220.0,bin_autoscale,8.0,30.0,"(64,)",0.1,False,0.6695637077946047,0.023629009682673147,0.6213003663003663,0.0020755045514004094,0.6332018704411096,0.010954153815214042,0.6564607976526332,0.005405207691400001,0.6638888888888889,0.003928371006591917,0.5760965584802794,0.511565934065934,0.532056579737376,0.5837339744338521,0.5916666666666667,0.01646285884657972,0.010192307692307667,0.004420569859354462,0.011414468667515554,0.008333333333333304,"{""scaling"": ""bin_autoscale"", ""n_bins"": 12, ""n_pc"": 20, ""hidden"": [128, 64], ""alpha"": 0.001, ""balance"": false}; {""scaling"": ""bin_autoscale"", ""n_bins"": 12, ""n_pc"": 20, ""hidden"": [64], ""alpha"": 0.001, ""balance"": true}; {""scaling"": ""bin_autoscale"", ""n_bins"": 12, ""n_pc"": 30, ""hidden"": [128, 64], ""alpha"": 0.001, ""balance"": false}; {""scaling"": ""bin_autoscale"", ""n_bins"": 4, ""n_pc"": 30, ""hidden"": [128, 64], ""alpha"": 0.001, ""balance"": false}; {""scaling"": ""bin_autoscale"", ""n_bins"": 8, ""n_pc"": 30, ""hidden"": [128, 64], ""alpha"": 0.1, ""balance"": false}; {""scaling"": ""bin_autoscale"", ""n_bins"": 8, ""n_pc"": 30, ""hidden"": [64], ""alpha"": 0.1, ""balance"": true}; {""scaling"": ""bin_autoscale"", ""n_bins"": 8, ""n_pc"": 50, ""hidden"": [128, 64], ""alpha"": 0.1, ""balance"": true}; {""scaling"": ""center"", ""n_bins"": 12, ""n_pc"": 30, ""hidden"": [128, 64], ""alpha"": 0.001, ""balance"": false}; {""scaling"": ""center"", ""n_bins"": 4, ""n_pc"": 30, ""hidden"": [128, 64], ""alpha"": 0.001, ""balance"": false}"
recall_macro,220.0,bin_autoscale,8.0,30.0,"(64,)",0.1,False,0.6695637077946047,0.023629009682673147,0.6213003663003663,0.0020755045514004094,0.6332018704411096,0.010954153815214042,0.6564607976526332,0.005405207691400001,0.6638888888888889,0.003928371006591917,0.6155976800976801,0.5566208791208791,0.5734116018684288,0.6119351163196829,0.6166666666666667,0.05632417582417587,0.026675824175824148,0.03291886982789649,0.012997954223143704,0.016666666666666663,"{""scaling"": ""bin_autoscale"", ""n_bins"": 12, ""n_pc"": 20, ""hidden"": [128, 64], ""alpha"": 0.1, ""balance"": true}; {""scaling"": ""bin_autoscale"", ""n_bins"": 12, ""n_pc"": 30, ""hidden"": [128, 64], ""alpha"": 0.1, ""balance"": false}; {""scaling"": ""bin_autoscale"", ""n_bins"": 12, ""n_pc"": 30, ""hidden"": [128, 64], ""alpha"": 0.1, ""balance"": true}; {""scaling"": ""bin_autoscale"", ""n_bins"": 4, ""n_pc"": 30, ""hidden"": [64], ""alpha"": 0.001, ""balance"": true}; {""scaling"": ""bin_autoscale"", ""n_bins"": 4, ""n_pc"": 50, ""hidden"": [64], ""alpha"": 0.1, ""balance"": false}; {""scaling"": ""bin_autoscale"", ""n_bins"": 8, ""n_pc"": 20, ""hidden"": [64], ""alpha"": 0.001, ""balance"": true}; {""scaling"": ""bin_autoscale"", ""n_bins"": 8, ""n_pc"": 50, ""hidden"": [128, 64], ""alpha"": 0.1, ""balance"": true}; {""scaling"": ""center"", ""n_bins"": 8, ""n_pc"": 50, ""hidden"": [128, 64], ""alpha"": 0.1, ""balance"": true}"
f1_macro,220.0,bin_autoscale,8.0,30.0,"(64,)",0.1,False,0.6695637077946047,0.023629009682673147,0.6213003663003663,0.0020755045514004094,0.6332018704411096,0.010954153815214042,0.6564607976526332,0.005405207691400001,0.6638888888888889,0.003928371006591917,0.6092489488830952,0.5508791208791209,0.5694655320594759,0.6117470032097359,0.6166666666666667,0.06840645804060436,0.025934065934065886,0.03841834466498045,0.023786369974603594,0.025000000000000022,"{""scaling"": ""bin_autoscale"", ""n_bins"": 12, ""n_pc"": 20, ""hidden"": [128, 64], ""alpha"": 0.1, ""balance"": true}; {""scaling"": ""bin_autoscale"", ""n_bins"": 12, ""n_pc"": 30, ""hidden"": [128, 64], ""alpha"": 0.1, ""balance"": false}; {""scaling"": ""bin_autoscale"", ""n_bins"": 12, ""n_pc"": 30, ""hidden"": [128, 64], ""alpha"": 0.1, ""balance"": true}; {""scaling"": ""bin_autoscale"", ""n_bins"": 4, ""n_pc"": 50, ""hidden"": [64], ""alpha"": 0.1, ""balance"": false}; {""scaling"": ""bin_autoscale"", ""n_bins"": 8, ""n_pc"": 20, ""hidden"": [64], ""alpha"": 0.001, ""balance"": true}; {""scaling"": ""bin_autoscale"", ""n_bins"": 8, ""n_pc"": 30, ""hidden"": [128, 64], ""alpha"": 0.1, ""balance"": false}; {""scaling"": ""bin_autoscale"", ""n_bins"": 8, ""n_pc"": 30, ""hidden"": [64], ""alpha"": 0.1, ""balance"": true}; {""scaling"": ""bin_autoscale"", ""n_bins"": 8, ""n_pc"": 50, ""hidden"": [128, 64], ""alpha"": 0.1, ""balance"": true}"
f1_weighted,220.0,bin_autoscale,8.0,30.0,"(64,)",0.1,False,0.6695637077946047,0.023629009682673147,0.6213003663003663,0.0020755045514004094,0.6332018704411096,0.010954153815214042,0.6564607976526332,0.005405207691400001,0.6638888888888889,0.003928371006591917,0.6154212454212454,0.5530219780219781,0.5742275491406263,0.6093268299718138,0.6125,0.07457875457875462,0.028076923076923,0.04318036174613088,0.021366196736681553,0.020833333333333315,"{""scaling"": ""bin_autoscale"", ""n_bins"": 12, ""n_pc"": 20, ""hidden"": [128, 64], ""alpha"": 0.1, ""balance"": true}; {""scaling"": ""bin_autoscale"", ""n_bins"": 12, ""n_pc"": 30, ""hidden"": [128, 64], ""alpha"": 0.1, ""balance"": true}; {""scaling"": ""bin_autoscale"", ""n_bins"": 4, ""n_pc"": 50, ""hidden"": [64], ""alpha"": 0.1, ""balance"": false}; {""scaling"": ""bin_autoscale"", ""n_bins"": 8, ""n_pc"": 20, ""hidden"": [64], ""alpha"": 0.001, ""balance"": true}; {""scaling"": ""bin_autoscale"", ""n_bins"": 8, ""n_pc"": 30, ""hidden"": [128, 64], ""alpha"": 0.1, ""balance"": false}; {""scaling"": ""bin_autoscale"", ""n_bins"": 8, ""n_pc"": 30, ""hidden"": [64], ""alpha"": 0.001, ""balance"": false}; {""scaling"": ""bin_autoscale"", ""n_bins"": 8, ""n_pc"": 30, ""hidden"": [64], ""alpha"": 0.001, ""balance"": true}; {""scaling"": ""bin_autoscale"", ""n_bins"": 8, ""n_pc"": 50, ""hidden"": [128, 64], ""alpha"": 0.1, ""balance"": false}; {""scaling"": ""bin_autoscale"", ""n_bins"": 8, ""n_pc"": 50, ""hidden"": [128, 64], ""alpha"": 0.1, ""balance"": true}"
"baseline pca_mlp (mean, 4 blocks)",,,,,,,,0.7168452634369911,,0.6680934065934065,,0.6854327791846334,,0.7133219423876139,,0.7166666666666666,,,,,,,,,,,,
