w_depth_snv,precision_macro,recall_macro,f1_macro,f1_weighted,accuracy,precision_macro_std,recall_macro_std,f1_macro_std,f1_weighted_std,accuracy_std
0.0,0.5718084441819052,0.5480952380952381,0.5541742964143871,0.6044947153260262,0.611111111111111,0.04228101077753169,0.027323122435584497,0.03254806749113251,0.03003551269605898,0.030681558381075755
0.1,0.6002615484717351,0.574908424908425,0.5809004811613508,0.627183481574786,0.6333333333333334,0.041762306697859554,0.02748257447542701,0.03135949965096815,0.03099221137162094,0.031180478223116204
0.2,0.6083088351650743,0.58003663003663,0.5875921964718472,0.6298254069146801,0.6361111111111112,0.05614256251997441,0.033268594299871966,0.04013132514329907,0.04715881163324857,0.04827263110272988
0.3,0.6471046646120867,0.6195054945054945,0.6255572158835107,0.6590653039047306,0.6666666666666666,0.03712064334294094,0.012516864604566195,0.02187730132566006,0.03855872046221313,0.04138795673819815
0.4,0.6594318739970914,0.6295238095238095,0.6368895123721341,0.6604991313624713,0.6666666666666666,0.041833164236706626,0.010668808654633958,0.022890246030700973,0.03214219794645579,0.031180478223116207
0.5,0.6733376636283612,0.6228388278388278,0.6377322656532977,0.6645348240263992,0.6722222222222222,0.03326205507984055,0.007298437133103634,0.01734495403451405,0.02205558687349403,0.020786985482077427
0.6,0.6858125771169249,0.6315384615384616,0.6457791688551987,0.6763633583039571,0.6861111111111112,0.038153169928728484,0.019699519954119067,0.02523024341518909,0.025713734430538662,0.025760051376376946
0.7,0.6871685222201539,0.6415567765567766,0.6532180368544185,0.6783928242650545,0.6861111111111112,0.036242664489684405,0.021126609807019102,0.02230957734808088,0.019839585339873678,0.020786985482077466
0.8,0.6799479830546563,0.6382234432234433,0.6495150857441119,0.6731558962115193,0.6805555555555557,0.03411476882566357,0.01673419480099565,0.019377136997871837,0.015951748011168956,0.01571348402636772
0.9,0.6731086638372884,0.6280952380952382,0.6411127593743059,0.6625708223473127,0.6694444444444446,0.03030571755258253,0.008482958157590724,0.013912635513867249,0.008666974793820371,0.007856742013183886
1.0,0.6695637077946047,0.6213003663003663,0.6332018704411096,0.6564607976526332,0.6638888888888889,0.023629009682673147,0.0020755045514004094,0.010954153815214042,0.005405207691400001,0.003928371006591917
