wl_from,wl_to,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,mean_all_blocks
644.0,654.0,0.02509749,0.002925023,0.008883762,0.008147786,0.011163894,0.0028192683,0.013726741,0.016819902,0.012973485,0.013903561,0.011646091
654.0,664.0,0.04023827,0.025464972,0.03136637,0.022988206,0.03606228,0.026435208,0.0425031,0.044765275,0.047486067,0.042980533,0.036029026
664.0,674.0,0.030954657,-0.0013667408,0.0077500143,0.0060641444,0.007882183,0.0034900378,0.00501035,0.0005549804,0.0020434547,0.0022841983,0.0064667286
674.0,684.0,0.035264183,0.008684325,0.01622986,0.01636692,0.007949132,0.004830572,0.010121209,0.0099280365,0.010897586,0.012152742,0.013242456
684.0,694.0,0.042536378,0.003187745,0.0073486613,0.0060521737,0.002270136,-0.00030786433,0.004290186,0.009007176,0.005645328,0.0114948135,0.009152474
694.0,704.0,0.041759625,0.010588104,0.012373815,0.012933929,0.0044560875,0.0019163848,0.008586401,0.012191087,0.01150667,0.014194651,0.013050675
704.0,714.0,0.052235723,0.022848567,0.015758181,0.020847473,0.007994551,0.0058276337,0.014401078,0.017371189,0.016587654,0.015169857,0.018904192
714.0,724.0,0.030336926,0.0035427536,-0.00058637856,0.0011497296,0.00025764128,-0.0021287277,0.0023401836,0.0070359483,0.0005892226,0.004304834,0.0046842126
724.0,734.0,0.029081387,0.0073225554,0.0057795336,0.0070548323,0.002226931,0.0013332735,0.0039567114,0.007036503,0.006743794,0.0067535867,0.007728911
734.0,744.0,0.03645775,0.005553661,0.004831477,0.0016242289,0.0014328413,0.0009652645,0.005886182,0.00784226,0.003079907,0.007211523,0.007488509
744.0,754.0,0.024293363,0.004289826,-0.0015730046,-0.0021540758,0.002891729,0.00048495902,0.0105532,0.011027834,0.0057374598,0.00940631,0.0064957603
754.0,764.0,0.009272252,0.0050929696,0.00032355444,0.0014603877,0.0014023617,0.0007082737,0.0012371809,0.0017114213,0.0012218737,0.0025926263,0.00250229
764.0,774.0,-0.002460263,0.0049304995,0.0061201444,0.0011763592,0.00039109337,0.0003483327,0.000535862,0.0047232937,0.0057899905,0.006621461,0.0028176773
774.0,784.0,0.025166191,0.0029062342,-0.0002042549,0.00041689337,0.016963275,0.014480558,0.023599962,0.022687713,0.020766731,0.017514888,0.014429818
784.0,794.0,0.03573173,0.014811838,0.010781977,0.0131498035,0.0064877365,0.004214636,0.008727178,0.014091922,0.0132965185,0.01118445,0.013247779
794.0,804.0,0.016166367,0.004180766,-0.00046495904,-0.00039743722,0.0018710294,9.99551e-05,0.0030360876,0.005714479,0.002900127,0.0024531907,0.0035559605
804.0,814.0,0.043344297,0.022523368,0.013716255,0.020407222,0.012870035,0.01229521,0.019580314,0.025814615,0.019315097,0.023474984,0.021334138
814.0,824.0,0.009909482,0.0011405464,0.0036766483,0.0045207893,-0.00045933746,0.00014756077,-0.0010667962,0.0062629054,0.0027839947,0.0027202268,0.002963602
824.0,834.0,0.010642274,0.0015712274,-0.0016423383,-0.002280177,0.000668723,-0.00051538454,0.0022295818,0.0061107655,-0.0005655395,0.0026538193,0.001887295
834.0,844.0,-0.0013234464,0.006675101,0.003942796,0.0016518252,0.0028659662,0.0031906075,0.0075870906,0.0061215144,0.0069921953,0.013716665,0.0051420312
844.0,854.0,0.017669786,0.003003321,0.0062153516,0.0026670939,0.013348852,0.010818093,0.022064153,0.011726861,0.019360382,0.023976548,0.013085043
854.0,864.0,0.018446553,0.005767384,0.0019174275,-0.002468452,0.0064415084,0.009117297,0.012174555,0.0014112671,0.007163756,0.0073945047,0.0067365803
864.0,874.0,0.008421067,-0.0018313602,0.0085962275,0.0016998356,0.007488798,0.0073290267,0.013694207,0.0033720129,0.009383506,0.0025179286,0.006067125
874.0,884.0,0.00577852,0.00648426,0.005952776,0.0021579957,0.0043070316,0.0036888276,0.012458107,0.002195889,0.00748919,0.011327979,0.0061840573
884.0,894.0,0.0012453638,0.010323314,0.0119805755,0.012933474,0.006374867,0.0051109525,0.011338005,0.013406505,0.010007189,0.01697281,0.009969305
894.0,904.0,0.027260374,0.019620242,0.017521173,0.009391597,0.015041456,0.012973022,0.01732341,0.01980134,0.0156082995,0.022852754,0.017739367
904.0,914.0,0.014464627,-0.00045699265,0.00063087547,0.0018885093,0.0130296815,0.017975328,0.022522591,0.0010241217,0.011304804,0.0040800795,0.008646362
914.0,924.0,0.0077379583,0.0027631386,0.0022366126,0.0026303635,0.0052350773,0.0015936922,-0.0012753295,0.0041709477,0.00016867186,0.0024069247,0.0027668057
924.0,934.0,0.0016768381,0.0052069174,0.001972971,-0.0042435294,0.001074873,0.007844748,-0.0018086599,0.012362996,0.006740275,0.0038595416,0.0034686972
934.0,944.0,0.0057502273,0.010438623,0.005309493,0.00863473,0.02345414,0.02465061,0.028134432,0.047252793,0.023809016,0.016345207,0.019377926
944.0,954.0,0.0053463327,0.005708288,0.002801195,-0.0016806137,0.0007641021,0.0016781519,0.007156861,0.010476645,0.0045074024,0.011324166,0.004808253
