config_id,scaling,n_bins,n_pc,hidden,alpha,balance,precision_macro,precision_macro_std,recall_macro,recall_macro_std,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std,accuracy,accuracy_std
0,center,8,30,"(64,)",0.001,False,0.5542890442890444,0.0,0.5178571428571429,0.0,0.5285877455877455,0.0,0.5833751803751803,0.0,0.5916666666666667,0.0
1,center,8,30,"(64,)",0.001,True,0.5174306544519309,0.0,0.5182417582417582,0.0,0.5155618430101189,0.0,0.570090251170711,0.0,0.575,0.0
2,bin_autoscale,8,30,"(64,)",0.001,False,0.6343126385809312,0.0,0.614065934065934,0.0,0.6155965788149695,0.0,0.6420340054439672,0.0,0.65,0.0
3,bin_autoscale,8,30,"(64,)",0.001,True,0.6138224348750665,0.0,0.609065934065934,0.0,0.6015544025866606,0.0,0.6346415018673084,0.0,0.6416666666666667,0.0
