model,labels,all120_accuracy,all120_balanced_accuracy,all120_f1_macro,all120_accuracy_std,unchanged110_accuracy,unchanged110_balanced_accuracy,unchanged110_f1_macro,unchanged110_accuracy_std
pca_mlp,original,0.7516666666666667,0.7217142857142856,0.7245614817265811,0.0157233018867609,0.8200000000000001,0.8006594448699712,0.8012599643741268,0.0171526929673756
pca_mlp,corrected,0.8416666666666666,0.8191997614788313,0.8198978755179412,0.0217306746840088,0.8318181818181818,0.8097301674143779,0.8109898922283305,0.0219879756771778
svm_linear,original,0.7016666666666665,0.642087912087912,0.667737625426888,0.0246644143115812,0.7654545454545455,0.7100366925630083,0.736070030754149,0.0269066337944522
svm_linear,corrected,0.795,0.7453225998807395,0.7602317735932285,0.0329561998888086,0.7836363636363636,0.731211146369041,0.7485269484561764,0.0327272727272727
pca_xgb,original,0.6308333333333335,0.5271868131868132,0.553520631486698,0.023288647687470212,0.6809090909090909,0.5740402305139147,0.6090033298556559,0.023159525823376347
pca_xgb,corrected,0.7308333333333333,0.6074466308884914,0.6422803485101345,0.018276426832884426,0.7190909090909091,0.5969373016741438,0.6311583205734429,0.017463066102089597
