trial,accuracy,balanced_accuracy,macro_f1,mean_top_p,n_predicted_classes,dropout,encoder_dropout,noise_std,wl_shift,shot_mask_p,weight_decay,epochs,lr
no_reg,0.4083333333333333,0.3767032967032967,0.3642082156083813,0.619528978317976,5,0.0,0.0,0.0,0.0,0.0,0.0001,,
aug_only,0.26666666666666666,0.27093406593406594,0.24592756836659274,0.2509879423926274,5,0.0,0.0,,,,0.0001,,
drop10_ep250,0.24166666666666667,0.2018131868131868,0.1703611800385994,0.23082225831846395,5,0.1,0.05,,,,0.0001,250.0,
drop10_wd1e-3,0.19166666666666668,0.1958791208791209,0.133475935828877,0.20434552654623986,3,0.1,0.05,,,,0.001,,
drop20,0.18333333333333332,0.20126373626373625,0.14839530198044132,0.20343965652088325,4,0.2,0.1,,,,0.0001,,
drop10,0.18333333333333332,0.18049450549450546,0.12532324902062908,0.20428633180757363,3,0.1,0.05,,,,0.0001,,
drop10_mask,0.18333333333333332,0.20126373626373625,0.13124652983206664,0.2042924914509058,4,0.1,0.05,,,0.1,0.0001,,
drop10_lr1e-3,0.15833333333333333,0.20263736263736262,0.12167577413479051,0.20364652785162132,3,0.1,0.05,,,,0.0001,,0.001
