pair,w_a,accuracy,accuracy_std,balanced_accuracy,macro_f1
transformer+pca_mlp,0.0,0.7145833333333333,0.04098399077688753,0.6588049450549451,0.6749053314029889
transformer+pca_mlp,0.1,0.7145833333333333,0.04098399077688753,0.6588049450549451,0.6749053314029889
transformer+pca_mlp,0.2,0.7145833333333333,0.04098399077688753,0.6588049450549451,0.6749053314029889
transformer+pca_mlp,0.30000000000000004,0.7145833333333333,0.04098399077688753,0.6588049450549451,0.6749053314029889
transformer+pca_mlp,0.4,0.71875,0.03697549864437261,0.6613049450549451,0.6780360314028415
transformer+pca_mlp,0.5,0.71875,0.03697549864437261,0.6613049450549451,0.6780360314028415
transformer+pca_mlp,0.6000000000000001,0.7208333333333333,0.03461093276215867,0.6625549450549452,0.6792850330767473
transformer+pca_mlp,0.7000000000000001,0.7229166666666667,0.03602420097039706,0.6661263736263737,0.6822920877504686
transformer+pca_mlp,0.8,0.7208333333333333,0.033592740617910614,0.6622802197802198,0.6787813583776703
transformer+pca_mlp,0.9,0.7208333333333333,0.029755951785595213,0.6622802197802198,0.6788229074071189
transformer+pca_mlp,1.0,0.2916666666666667,0.0,0.20285714285714285,0.17872482474685655
transformer+pixel_cnn,0.0,0.5833333333333333,0.00833333333333336,0.5338736263736263,0.5354269669940188
transformer+pixel_cnn,0.1,0.5833333333333333,0.00833333333333336,0.5338736263736263,0.5354269669940188
transformer+pixel_cnn,0.2,0.5833333333333333,0.00833333333333336,0.5338736263736263,0.5354269669940188
transformer+pixel_cnn,0.30000000000000004,0.5833333333333333,0.00833333333333336,0.5338736263736263,0.5354269669940188
transformer+pixel_cnn,0.4,0.5874999999999999,0.012500000000000011,0.5363736263736263,0.5379155954989076
transformer+pixel_cnn,0.5,0.5874999999999999,0.012500000000000011,0.5363736263736263,0.5379155954989076
transformer+pixel_cnn,0.6000000000000001,0.5916666666666667,0.008333333333333304,0.5388736263736263,0.5403386511936576
transformer+pixel_cnn,0.7000000000000001,0.5916666666666667,0.008333333333333304,0.5388736263736263,0.5403386511936576
transformer+pixel_cnn,0.8,0.5958333333333333,0.004166666666666652,0.546565934065934,0.5481194884998114
transformer+pixel_cnn,0.9,0.5916666666666667,0.0,0.544065934065934,0.5449579844833374
transformer+pixel_cnn,1.0,0.2916666666666667,0.0,0.20285714285714285,0.17872482474685655
