name,accuracy,balanced_accuracy,epochs,channels,dropout,batch_size,spectral_pca,depth_bins,noise_std,weight_decay
baseline,0.425,0.37357142857142855,,,,,,,,
ep200,0.45,0.36945054945054945,200.0,,,,,,,
ch48,0.4083333333333333,0.3548351648351648,,"(48, 96, 192)",0.35,,,,,
bs24,0.39166666666666666,0.34593406593406595,,,,24.0,,,,
pca64,0.4083333333333333,0.32478021978021976,,,,,64.0,,,
drop35,0.4666666666666667,0.4187912087912088,,,0.35,,,,,
db8,0.4583333333333333,0.385934065934066,,,,,,8.0,,
noise02,0.45,0.4191758241758242,,,,,,,0.02,
wd3,0.44166666666666665,0.37373626373626373,,,,,,,,0.001
